power,cores,bandwidth,rapl,p99
45, 2, 5, 110, 5.18
50, 2, 10, 110, 5.18
55, 2, 25, 110, 5.18
60, 2, 35, 110, 5.18
65, 2, 50, 110, 5.18
70, 2, 100, 110, 5.18
75, 2, 200, 110, 3.95
80, 3, 300, 110, 3.95
85, 4, 400, 110, 3.95
90, 5, 500, 110, 3.95
95, 6, 600, 110, 3.95
99, 8, 800, 110, 1.54
100, 8, 800, 111, 1.54
101, 8, 800, 112, 1.54
102, 8, 800, 113, 1.54
103, 8, 800, 114, 1.54
104, 8, 800, 115, 1.54
105, 8, 800, 116, 1.54
106, 8, 800, 117, 1.54
107, 8, 800, 118, 1.19
108, 8, 800, 119, 1.06
109, 8, 800, 120, 1.06
110, 8, 800, 121, 1.06
111, 8, 800, 122, 1.06
112, 8, 800, 123, 1.06
113, 8, 800, 124, 1.06
114, 8, 800, 125, 1.06
115, 8, 800, 126, 0.95
116, 8, 800, 127, 0.95
117, 8, 800, 128, 0.95
118, 8, 800, 129, 0.95
119, 8, 800, 130, 0.95
120, 8, 800, 132, 0.95
121, 8, 800, 134, 0.95
122, 8, 800, 136, 0.95
123, 8, 800, 138, 0.95
124, 8, 800, 140, 0.88
125, 8, 800, 141, 0.88
126, 8, 800, 142, 0.88
127, 8, 800, 143, 0.88
128, 8, 800, 144, 0.88
129, 8, 800, 145, 0.88
130, 8, 800, 146, 0.88
131, 8, 800, 147, 0.88
132, 8, 800, 148, 0.88
133, 8, 800, 149, 0.88
134, 8, 800, 150, 0.8
135, 8, 800, 151, 0.8
136, 8, 800, 152, 0.8
137, 8, 800, 153, 0.8
138, 8, 800, 154, 0.8
139, 8, 800, 155, 0.8
140, 8, 800, 156, 0.8
141, 8, 800, 157, 0.8
142, 8, 800, 158, 0.8
143, 8, 800, 159, 0.8
144, 8, 800, 160, 0.78
145, 8, 800, 161, 0.78
146, 8, 800, 162, 0.78
147, 8, 800, 163, 0.78
148, 8, 800, 164, 0.78
149, 8, 800, 165, 0.78
150, 8, 800, 166, 0.78
151, 8, 800, 167, 0.78
152, 8, 800, 168, 0.78
153, 8, 800, 169, 0.78
154, 8, 800, 170, 0.78
155, 8, 800, 171, 0.78
156, 8, 800, 172, 0.78
157, 8, 800, 173, 0.78
158, 8, 800, 174, 0.78
159, 8, 800, 175, 0.78
160, 8, 800, 176, 0.78
161, 8, 800, 177, 0.78
162, 8, 800, 178, 0.78
163, 8, 800, 179, 0.78
164, 8, 800, 180, 0.78
165, 8, 800, 181, 0.78
166, 8, 800, 182, 0.78
167, 8, 800, 183, 0.78
168, 8, 800, 184, 0.78
169, 8, 800, 185, 0.78
170, 8, 800, 186, 0.78
171, 8, 800, 187, 0.78
172, 8, 800, 188, 0.78
173, 8, 800, 189, 0.78
174, 8, 800, 190, 0.78
175, 8, 800, 191, 0.78
176, 8, 800, 192, 0.78
177, 8, 800, 193, 0.78
178, 8, 800, 194, 0.78
179, 8, 800, 195, 0.78
180, 8, 800, 196, 0.78
181, 8, 800, 197, 0.78
182, 8, 800, 198, 0.78
183, 8, 800, 199, 0.78
184, 8, 800, 200, 0.78
185, 8, 800, 201, 0.78
186, 8, 800, 202, 0.78
187, 8, 800, 203, 0.78
188, 8, 800, 204, 0.78
189, 8, 800, 205, 0.78
190, 8, 800, 206, 0.78
191, 8, 800, 207, 0.78
192, 8, 800, 208, 0.78
193, 8, 800, 209, 0.78
194, 8, 800, 210, 0.78
195, 8, 800, 211, 0.78
196, 8, 800, 212, 0.78
197, 8, 800, 213, 0.78
198, 8, 800, 214, 0.78
199, 8, 800, 215, 0.78
200, 8, 800, 216, 0.78
201, 8, 800, 217, 0.78
202, 8, 800, 218, 0.78
203, 8, 800, 219, 0.78
204, 8, 800, 220, 0.78
205, 8, 800, 221, 0.78
206, 8, 800, 222, 0.78
207, 8, 800, 223, 0.78
208, 8, 800, 224, 0.78
209, 8, 800, 225, 0.78
210, 8, 800, 226, 0.78